career_name,category,required_skills,nice_to_have_skills,tools,related_interests,work_style,education_fit,experience_level,goal_fit,beginner_friendly_score,salary_potential_score,remote_friendly_score,learning_difficulty_score,creativity_score,technical_depth_score,market_demand_score,short_description,roadmap,mini_project_ideas
Frontend Developer,Web Development,html|css|javascript|react|git,typescript|tailwind css|accessibility,vs code|chrome devtools|github,web apps|user interface|visual design,Creative|Technical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Fast hiring|Remote job|Freelancing,90,78,88,48,84,62,86,Builds interactive browser interfaces with responsive layouts and accessible components.,html css basics|javascript practice|react components|portfolio deployment,personal portfolio|landing page clone|weather dashboard
Backend Developer,Web Development,python|sql|apis|databases|git,django|docker|testing,postman|postgresql|github,apis|systems|data flow,Technical|Analytical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Startup role|Remote job,72,86,82,66,45,88,86,Designs server logic APIs data models and reliable application services.,api fundamentals|database design|authentication concepts|deployment basics,task api|blog backend|inventory service
Full Stack Developer,Web Development,html|css|javascript|python|sql|git,react|node.js|docker,vs code|github|postman,web apps|startups|product building,Technical|Creative,Undergraduate|Self-taught|Graduate,Beginner|Intermediate,Startup role|Freelancing|Remote job,82,84,85,68,78,82,88,Builds complete web products across frontend backend and database layers.,frontend basics|backend apis|database integration|full deployment,expense tracker|job board app|course platform
React Developer,Web Development,html|css|javascript|react|state management,typescript|next.js|testing,vs code|vite|github,components|web apps|interfaces,Creative|Technical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Fast hiring|Remote job|Freelancing,86,80,88,58,82,68,84,Creates component driven web interfaces using React and modern frontend tooling.,javascript refresh|react components|state and routing|testing and deploy,react dashboard|movie search app|admin panel
Node.js Developer,Web Development,javascript|node.js|apis|databases|git,typescript|express|docker,node.js|postman|mongodb,backend|apis|realtime apps,Technical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,Startup role|Remote job|High salary,74,84,84,66,52,84,82,Builds scalable JavaScript backend services and real time application APIs.,node fundamentals|express apis|database models|service deployment,realtime chat api|url shortener|ecommerce api
Django Developer,Web Development,python|django|sql|html|git,django rest framework|docker|testing,pycharm|postgresql|github,web apps|backend|admin systems,Technical|Analytical,Undergraduate|Self-taught|Graduate,Beginner|Intermediate,Fast hiring|Remote job|Startup role,80,82,80,60,55,78,80,Creates secure Python web applications using Django and relational databases.,python oop|django models|views and templates|deployment,library system|crm app|blog platform
Mobile App Developer,Mobile Development,mobile ui|apis|state management|testing|git,flutter|react native|firebase,android studio|xcode|figma,mobile apps|product design|user experience,Creative|Technical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Freelancing|Startup role|Remote job,78,82,76,66,78,74,80,Builds mobile applications with smooth flows native patterns and backend integration.,mobile fundamentals|ui screens|api integration|publish workflow,habit tracker|food ordering app|notes app
Android Developer,Mobile Development,kotlin|java|android sdk|mobile ui|git,jetpack compose|firebase|testing,android studio|gradle|github,mobile apps|android|consumer apps,Technical|Creative,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Startup role|Freelancing,68,84,72,72,70,82,78,Develops native Android apps using Kotlin Java and the Android ecosystem.,kotlin basics|android lifecycle|data storage|release builds,expense android app|fitness tracker|news reader
iOS Developer,Mobile Development,swift|ios sdk|mobile ui|apis|git,swiftui|core data|testing,xcode|simulator|github,mobile apps|apple ecosystem|product design,Technical|Creative,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Startup role|Freelancing,64,88,74,74,72,84,76,Builds native iOS apps for Apple devices with polished interface behavior.,swift basics|swiftui views|networking|app store prep,ios journal app|recipe app|task manager
Flutter Developer,Mobile Development,dart|flutter|mobile ui|state management|apis,firebase|animations|testing,android studio|flutter sdk|figma,cross platform apps|mobile ui|startups,Creative|Technical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Freelancing|Startup role|Remote job,82,82,80,62,82,72,78,Creates cross platform mobile apps from one codebase using Flutter and Dart.,dart basics|flutter widgets|state management|api integration,travel app|budget app|quiz app
React Native Developer,Mobile Development,javascript|react native|mobile ui|apis|git,typescript|expo|firebase,expo|android studio|xcode,mobile apps|cross platform|consumer products,Creative|Technical,Undergraduate|Self-taught|Graduate,Intermediate|Advanced,Freelancing|Startup role|Remote job,76,82,82,66,78,74,76,Builds mobile apps with React Native and JavaScript based tooling.,react native basics|navigation|native modules|testing,fitness app|chat app|event app
Python Developer,Software Engineering,python|oop|git|debugging|testing,django|flask|sql,vs code|pycharm|github,automation|backend|scripting,Technical|Analytical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Fast hiring|Remote job|Startup role,88,80,82,54,58,76,84,Develops Python applications scripts and services for practical software problems.,python basics|oop practice|testing|package a project,automation script|file organizer|api client
Java Developer,Software Engineering,java|oop|sql|spring boot|git,maven|microservices|testing,intellij idea|postman|github,enterprise apps|backend|banking systems,Technical|Analytical,Undergraduate|Graduate|Diploma,Intermediate|Advanced,High salary|Fast hiring,70,84,72,68,42,86,82,Builds robust backend and enterprise systems using Java and Spring technologies.,java fundamentals|spring boot apis|database integration|testing,banking api|student portal|order service
.NET Developer,Software Engineering,c#|.net|sql|apis|git,azure|entity framework|testing,visual studio|sql server|postman,enterprise apps|backend|windows systems,Technical|Analytical,Undergraduate|Graduate|Diploma,Intermediate|Advanced,High salary|Fast hiring|Remote job,72,84,76,66,45,84,80,Creates enterprise web and desktop solutions with C# and the .NET ecosystem.,c# basics|.net web api|sql server|azure deploy,employee system|ticketing api|invoice app
PHP Developer,Software Engineering,php|html|css|sql|git,laravel|wordpress|javascript,phpstorm|mysql|github,websites|cms|small business apps,Technical|Creative,Diploma|Undergraduate|Self-taught,Beginner|Intermediate,Fast hiring|Freelancing,84,72,78,48,62,64,76,Builds dynamic websites CMS features and business web applications using PHP.,php basics|mysql integration|laravel mvc|hosting,blog cms|booking website|storefront
C++ Developer,Software Engineering,c++|data structures and algorithms|oop|debugging|operating systems,cmake|multithreading|linux,visual studio|gdb|github,performance|systems|algorithms,Technical|Research-Oriented,Undergraduate|Graduate,Advanced,High salary|Research career,45,86,62,86,35,94,70,Develops high performance software where memory control and speed matter.,c++ fundamentals|memory management|algorithms|debugging tools,command line tool|game loop demo|file compressor
Go Developer,Software Engineering,go|apis|concurrency|linux|git,docker|kubernetes|microservices,go tools|docker|github,backend|cloud services|platforms,Technical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Remote job|Startup role,62,88,84,72,45,88,78,Builds efficient cloud native backend services using Go and concurrency patterns.,go syntax|rest services|concurrency|container deploy,api gateway|log processor|microservice
